Age,Gender,EducationBackground,MaritalStatus,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating,EmpDepartment_Freq,EmpJobRole_Freq
32,1,3,2,2,10,3,4,55,3,2,4,1,0,12,4,10,2,2,10,7,0.0,8,0,3,0.31083333333333335,0.225
47,1,3,2,2,14,4,4,42,3,2,1,2,0,12,4,20,2,3,7,7,0.6931471805599453,7,0,3,0.31083333333333335,0.225
40,1,5,1,1,5,4,4,48,2,3,1,5,1,21,3,20,2,3,18,11,0.6931471805599453,10,0,4,0.31083333333333335,0.225
41,1,0,0,2,10,4,2,73,2,5,4,3,0,15,2,23,2,2,20,6,2.3978952727983707,6,0,3,0.045,0.0425
60,1,3,2,2,16,4,1,84,3,2,1,8,0,14,4,10,1,3,2,2,1.0986122886681098,2,0,3,0.31083333333333335,0.225
27,1,5,0,1,10,2,4,32,3,3,1,1,0,21,3,9,4,2,9,7,0.6931471805599453,7,0,4,0.30083333333333334,0.19666666666666666
50,1,3,1,2,8,4,4,54,3,1,2,7,0,15,4,4,2,3,2,2,1.0986122886681098,2,0,3,0.31083333333333335,0.0575
28,0,5,2,2,1,2,1,67,1,1,2,7,1,13,4,10,4,3,7,7,1.3862943611198906,7,1,3,0.30083333333333334,0.19666666666666666
36,0,5,1,0,8,3,1,63,4,3,1,8,0,14,1,10,2,3,8,7,0.0,5,0,3,0.30083333333333334,0.19666666666666666
38,0,5,2,2,1,3,3,81,3,3,3,4,1,14,4,10,4,4,1,0,0.0,0,0,3,0.30083333333333334,0.19666666666666666
44,1,4,2,0,24,3,1,49,1,1,3,2,0,14,3,9,5,3,5,2,0.6931471805599453,4,0,3,0.30083333333333334,0.19666666666666666
47,0,4,0,1,3,3,4,49,3,4,3,8,1,12,4,28,2,2,20,2,2.3978952727983707,10,0,3,0.31083333333333335,0.225
30,1,3,0,2,27,5,3,99,3,2,4,7,0,23,4,10,2,2,8,7,2.0794415416798357,7,0,4,0.31083333333333335,0.225
29,1,5,2,2,10,3,3,99,3,1,3,1,0,11,3,1,6,3,1,0,0.0,0,0,3,0.31083333333333335,0.0575
42,1,4,0,1,19,3,3,57,4,1,3,6,1,12,4,7,2,3,2,2,1.0986122886681098,2,1,3,0.30083333333333334,0.19666666666666666
34,0,4,2,2,8,2,2,96,3,2,3,3,0,11,4,10,2,3,5,1,1.6094379124341003,3,0,3,0.30083333333333334,0.19666666666666666
39,0,0,1,2,3,3,3,44,4,2,2,8,0,15,3,12,3,1,8,3,1.3862943611198906,6,0,3,0.045,0.0375
56,1,4,1,2,9,3,3,81,3,4,4,7,0,11,3,28,1,2,10,7,0.6931471805599453,1,0,3,0.30083333333333334,0.19666666666666666
40,0,4,2,2,2,1,4,86,2,1,4,0,1,20,4,5,2,2,4,2,1.0986122886681098,3,0,4,0.30083333333333334,0.19666666666666666
27,0,4,2,2,7,3,4,55,2,2,1,8,0,19,1,9,2,1,7,6,0.0,7,0,3,0.30083333333333334,0.19666666666666666
29,1,3,0,2,10,3,4,83,3,1,2,1,0,14,4,2,2,3,2,2,1.0986122886681098,2,0,3,0.31083333333333335,0.0575
53,1,5,2,2,6,3,4,86,3,2,4,2,0,17,4,19,4,3,2,2,1.0986122886681098,2,0,3,0.30083333333333334,0.19666666666666666
35,0,5,0,0,2,4,4,61,3,2,1,2,0,11,1,16,2,4,1,0,0.0,0,0,3,0.30083333333333334,0.043333333333333335
32,1,5,1,1,24,4,1,80,3,2,4,1,0,15,4,10,2,3,10,8,1.6094379124341003,7,0,3,0.30083333333333334,0.19666666666666666
34,0,5,0,2,8,5,2,32,3,2,1,3,0,14,3,7,3,3,1,0,0.0,0,0,3,0.30083333333333334,0.19666666666666666
52,1,3,1,2,3,4,3,31,2,4,1,1,0,11,1,28,3,4,20,6,0.6931471805599453,10,0,4,0.31083333333333335,0.0425
33,1,1,2,2,1,4,4,63,3,1,4,1,1,13,3,10,2,2,10,9,2.0794415416798357,8,1,3,0.30083333333333334,0.19666666666666666
25,0,4,2,2,26,1,3,32,3,2,4,1,0,23,2,6,5,2,6,5,0.6931471805599453,4,0,4,0.31083333333333335,0.225
45,1,2,2,2,2,2,2,46,1,2,3,0,0,13,1,9,3,3,8,7,1.3862943611198906,1,0,3,0.31083333333333335,0.0575
23,1,4,2,2,10,1,1,79,4,1,3,1,0,18,4,2,3,3,2,2,0.0,2,0,3,0.30083333333333334,0.19666666666666666
47,0,5,2,1,27,2,2,77,4,2,3,4,1,12,4,8,2,3,5,4,0.6931471805599453,3,1,3,0.31083333333333335,0.225
34,1,1,2,2,2,3,4,60,3,2,4,1,0,22,3,6,5,3,6,5,0.6931471805599453,4,0,4,0.31083333333333335,0.225
36,1,5,2,0,8,4,1,76,2,3,1,1,0,15,2,10,1,3,10,7,0.0,9,0,3,0.31083333333333335,0.225
52,1,4,1,0,19,4,4,41,3,1,4,0,0,18,1,5,3,3,4,3,0.6931471805599453,2,0,3,0.30083333333333334,0.19666666666666666
